Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,Latitude,Longitude,Geocoding_Query,Geocoding_Status
24174,,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Dr.Kamakshi Memorial Hospital,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,info@drkmh.com,0,www.drkmh.com,"Anaesthesiology,\n Cardiology,\n Cardiothoracic Surgery,\n Cosmetology,\n Critical Care,\n Dentistry,\n Dermatology,\n Diabetology,\n Emergency Medicine,\n Endocrinology,\n ENT,\n General Medicine,\n Geriatrics,\n Maxillofacial Surgery,\n Medical Oncology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopaedics,\n Paediatric Surgery,\n Physiotherapy,\n Plastic and Reconstructive, Surgery,\n Psychiatry,\n Psychology,\n Pulmonology,\n Radiation Oncology,\n Surgical Gastroenterology,\n Surgical Oncology,\n Transplant surgery,\n Urology,","Blood Bank,\nCardiothoracic,\nICU,\nCath Lab,\nClinical Laboratory,\nNeuro Lab,\nPain Clinic",,,,,,,,,,,,,,,0,,,,,,33,603,12.9492787,80.2091685,"Dr.Kamakshi Memorial Hospital, Chennai, Tamil Nadu, India",Found
24175,,"No.434, N.S.K.Salai, Vadapalani",Vijaya Hospital,"No.434, N.S.K.Salai, Vadapalani",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,0,contact@vijayahospital.org,0,www.vijayahospital.org,"Ayurveda,\n Cardiology,\n Cardiothoracic Surgery,\n Cardiovascular Surgery,\n Critical Care,\n Dentistry,\n Dermatology,\n Diabetology,\n Endocrinology,\n ENT,\n Family Medicine,\n Gastroenterology,\n General Surgery,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Orthopaedics and Traumatology,\n Paediatrics and Neonatology,\n Physiotherapy,\n Plastic Surgery and Cosmetic Surgery,\n Psychiatry,\n Pulmonology,\n Radiology,\n Rheumatology,\n Urology,\n Vascular Surgery","Accident Emergency Services,\nMedical Emergency Services,\nBlood Bank,\nCT Scan,\nPharmacy,\nCattages,\nFood Court,\nBank,\nTravel Desk,\nInsurance Help Desk,\nLaundry Services",,,,,,,,,,,,,,,0,,,,,,33,603,13.038873,80.192755,"Vijaya Hospital, Chennai, Tamil Nadu, India",Found
24176,,"Gandhi Nagar, 52, First Main Road, Gandhi nagar, Adyar",Fortis Malar Hospital,"Gandhi Nagar, 52, First Main Road, Gandhi nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,044 24914737,0,0,0,0,0,0,contactus.malar@fortishealthcare.com,0,www.fortishealthcare.com,"Andrology,\n Anaesthesiology,\n Cardiology,\n Critical Care,\n Dentistry,\n Dermatology,\n Emergency Medicine,\n Endocrinology,\n ENT, Gastroenterology,\nGeneral Surgery,\n Internal Medicine, Interventional Radiology,\n Neonatology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Paediatrics,\n Physiotherapy,\n Plastic and Reconstructive Surgery,\n Psychiatry,\n Pulmonology,\n Radiology,\n Rheumatology,\n Urology,\n Vascular Surgery","OPD Services 9 am to 12 pm,\nIn-patient, Admissions (IPD-related services)\nAmbulance Facility\nHealth Awareness Lectures/ Workshops,\nExecutive Health Checkups,\nHealth Check Camps,\nBlood Donation, Camps",,,,,,,,,,,,,,,0,,,,,,33,603,13.0101759,80.2586997,"Fortis Malar Hospital, Chennai, Tamil Nadu, India",Found
24177,,"Manapakkam, 4/112, Mount Poonamalle Road",MIOT Hospitals,"Manapakkam, 4/112, Mount Poonamalle Road",Tamil Nadu,Chennai,0,600089,0,044 22499800,0,0,0,0,0,0,enq@miothospitals.com,0,www.miothospitals.com,"Anaesthesiology,\n Cardiology,\n Cardiothoracic Surgery,\n Cardiovascular Surgery,\n Critical Care,\n Dentistry and Maxillofacial Surgery,\n Dermatology,\n Diabetology,\n Endocrinology\n ENT and Head and Neck Surgery, Gastroenterology,\n General Medicine,\n General Surgery,\n Internal Medicine, Interventional Radiology,\n Medical Oncology\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Paediatric Cardiology,\n Paediatric Surgery,\n Plastic and Reconstructive Surgery,\n Pulmonology,\n Radiation Oncology,\n Radiology and Imageology,\n Sleep Medicine,\n Spine Surgery,\n Surgical Oncology,\n Urology\n Vascular Surgery","Ambulance Services,\n750 HD CT Scan,\nMRI (for functional imaging and whole body scan)\nUltrasound,\nNuclear Scan with Dual head Gamma Camera,\nOperating Theatre,\nICU,\nBlood Bank,\nDigital Cardiac, Cathlab",,,,,,,,,,,,,,,0,,,,,,33,603,13.0211808,80.1858412,"MIOT Hospitals, Chennai, Tamil Nadu, India",Found
24178,,"No.15, Thousand Lights, Shafee Mohammed Road",Apollo Childrens Hospital,"No.15, Thousand Lights, Shafee Mohammed Road",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,enquiry@apollohospitals.com,0,http://www.apollohospitals.com/Apollo_Children/,"Adolescent medicine,\nAnaesthesiology,\nCardiology/ Cardiothoracic surgery,\nCommunity/Behavioral medicine,\nCritical care medicine,\nDermatology,\nEmergency medicine,\nENT,\nEndocrinology and Metabolism,\n Gastroenterology, [Medical and Surgical]\n General Paediatrics,\n haematology\n Imaging Sciences,\n Infectious diseases,\n Neonatology,\n Neurology/Neurosurgery,\n Nephrology/Urology,\n Occupational therapy,\n Orthopaedics,\n Paediatric surgery,\n Plastic surgery,\n Preventive medicine,\n Psychiatry,\nPulmonology/Allergy/Asthma,\n Rehabilitation medicine,\n Speech and Hearing Therapy","Neonatology care units, Paediatric Intensive care facilities, state of the art Operating rooms including facility for complex cardiac surgeries, procedure rooms, Laboratory services, dedicated clinics for chronic ailments, preventive health, developmental disorders and counselling services",,,,,,,,,,,,,,,0,,,,,,33,603,13.060131,80.2523656,"Apollo Childrens Hospital, No.15, Thousand Lights, Shafee Mohammed Road, Chennai, Tamil Nadu, India",Found
24180,,"320, Anna Salai",Apollo Specialty Hospital,"320, Anna Salai",Tamil Nadu,Chennai,0,600035,0,0,0,0,0,0,0,0,enquiry@apollohospitals.com,0,http://chennai.apollohospitals.com/,"ENT and Head and Neck Surgery,\n Medical Oncology,\n Neuro Surgery,\n Neurology,\n Oncology,\n Orthopaedics,\n Plastic and Reconstructive Surgery,\nSurgical Oncology","CT ICU / CCU, Emergency unit,",,,,,,,,,,,,,,,0,,,,,,33,603,13.0177957,80.2711008,"Apollo Specialty Hospital, Chennai, Tamil Nadu, India",Found
24181,,"43, Lakshmi Talkies Road, Shenoy Nagar",Billroth Hospital,"43, Lakshmi Talkies Road, Shenoy Nagar",Tamil Nadu,Chennai,0,600030,0,0,0,0,0,0,0,0,admin@billrothhospitals.com,0,www.billrothhospitals.com,"Cardiology,\n Cardiothoracic Surgery,\n Chest Physician,\n Diabetology,\n ENT,\n Gastroenterology,\n Laboratory Medicine,\n Medical Oncology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine\n Obstetrics and Gynaecology,\n Oncology,\n Orthopaedics,\n Plastic Surgery,\n Radiology,\n Surgical Oncology,\n Vascular Surgery","Diagnostic,\nAmbulance Services,\nEmergency Services,\nCCU,\nTheatre,\nDialysis,\nEndoscopy,\nOT",,,,,,,,,,,,,,,0,,,,,,33,603,13.0273509,80.2567528,"Billroth Hospital, Chennai, Tamil Nadu, India",Found
24184,,"4 - A, Dr.J.Jayalalitha Nagar, Mogappair",Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,"4 - A, Dr.J.Jayalalitha Nagar, Mogappair",Tamil Nadu,Chennai,0,600037,0,105911,0,0,0,0,0,0,icvddoctors@mmm.org.in,0,www.madrasmedicalmission.org,"Anaesthesiology,\n Cardiac Anaesthesia,\n Cardiology,\n Diabetology,\n Gynaecology,\n Laboratory Medicine,\n Nuclear Medicine,\n Paediatric Cardiology,\n Respiratory Medicine,\n Transfusion Medicine","CCU, ICU",,,,,,,,,,,,,,,0,,,,,,33,603,13.0859961,80.1870589,"Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases, Chennai, Tamil Nadu, India",Found
24185,,"Thiruvottriyur, No.393/1, T H Road",Aakash Hospital,"Thiruvottriyur, No.393/1, T H Road",Tamil Nadu,Chennai,0,600019,0,0,0,0,0,0,"044 49304200, 044 49304299",0,contact@aakashhospital.in,0,www.aakashhospital.in,"Anaesthesiology,\n Bariatric Surgery,\n Cardiology,\n Chest Physician,\n Dentistry,\n Dentistry and Maxillofacial Surgery\n Dermatology,\n Diabetology,\n Dietetics,\n Endocrinology,\n Endoscopy,\n ENT,\n Gastroenterology,\n General Medicine,\n General Surgery,\n Interventional Radiology,\n Laparoscopic Surgery,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Orthopaedics,\n Pathology,\n Paediatrics,\n Physiotherapy,\n Plastic and Reconstructive Surgery,\n Plastic Surgery\n Psychiatry,\n Radiology,\n Surgical Gastroenterology\n Urology,\n Uro Surgery,","Radiology and Imaging Sciences,\nUltra Sonogram,\nEcho Cardiography,\nColor Doppler,\nX-Ray\nECG,\nPhysiotherapy,\nAnaesthesiology,\nIRCU,\nLaboratory Services,\nBlood Bank,\n24 hrs Pharmacy,\nAmbulance Service,\nEmergency Services,\nHealth Care, Packages\nPsychiatry and Counselling,\nCanteen / Dietary, Services",,,,,,,,,,,,,,,0,,,,,,33,603,13.0554597,80.2118365,"Aakash Hospital, Chennai, Tamil Nadu, India",Found
24186,,"12 - A, Nageswara Road, Nungambakkam",Kanchi Kamakoti Childs Trust Hospital,"12 - A, Nageswara Road, Nungambakkam",Tamil Nadu,Chennai,0,600034,0,0,0,0,0,0,0,0,kkcth@airtelmail.in,0,www.childstrusthospital.in,"Anaesthesiology,\n Cardiology,\n Dentistry,\n Endocrinology,\n ENT, Gastroenterology,\n Genetics,\n Hemato Oncology,\n Micro-Biology,\n Neonatology,\n Nephrology,\n Neuro Surgery,\n Ophthalmology,\n Orthopaedics,\n Paediatric Surgery,\n Physical Medicine and Rehabilitation,\n Physiotherapy,\n Plastic Surgery,\n Psychiatry,\n Pulmonology,\n Radiology,\n Speech Therapy\n Urology","Emergency,\nCT Scan,\nIntensive Care Unit,\nBlood Bank\nBiochemistry Lab",,,,,,,,,,,,,,,0,,,,,,33,603,13.0573636,80.2459063,"Kanchi Kamakoti Childs Trust Hospital, Chennai, Tamil Nadu, India",Found
