Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,Latitude,Longitude,Geocoding_Query,Geocoding_Status
24174,,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Dr.Kamakshi Memorial Hospital,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,info@drkmh.com,0,www.drkmh.com,"Anaesthesiology,\n Cardiology,\n Cardiothoracic Surgery,\n Cosmetology,\n Critical Care,\n Dentistry,\n Dermatology,\n Diabetology,\n Emergency Medicine,\n Endocrinology,\n ENT,\n General Medicine,\n Geriatrics,\n Maxillofacial Surgery,\n Medical Oncology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopaedics,\n Paediatric Surgery,\n Physiotherapy,\n Plastic and Reconstructive, Surgery,\n Psychiatry,\n Psychology,\n Pulmonology,\n Radiation Oncology,\n Surgical Gastroenterology,\n Surgical Oncology,\n Transplant surgery,\n Urology,","Blood Bank,\nCardiothoracic,\nICU,\nCath Lab,\nClinical Laboratory,\nNeuro Lab,\nPain Clinic",,,,,,,,,,,,,,,0,,,,,,33,603,12.9492787,80.2091685,"Dr.Kamakshi Memorial Hospital, Chennai, Tamil Nadu, India",Found
24175,,"No.434, N.S.K.Salai, Vadapalani",Vijaya Hospital,"No.434, N.S.K.Salai, Vadapalani",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,0,contact@vijayahospital.org,0,www.vijayahospital.org,"Ayurveda,\n Cardiology,\n Cardiothoracic Surgery,\n Cardiovascular Surgery,\n Critical Care,\n Dentistry,\n Dermatology,\n Diabetology,\n Endocrinology,\n ENT,\n Family Medicine,\n Gastroenterology,\n General Surgery,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Orthopaedics and Traumatology,\n Paediatrics and Neonatology,\n Physiotherapy,\n Plastic Surgery and Cosmetic Surgery,\n Psychiatry,\n Pulmonology,\n Radiology,\n Rheumatology,\n Urology,\n Vascular Surgery","Accident Emergency Services,\nMedical Emergency Services,\nBlood Bank,\nCT Scan,\nPharmacy,\nCattages,\nFood Court,\nBank,\nTravel Desk,\nInsurance Help Desk,\nLaundry Services",,,,,,,,,,,,,,,0,,,,,,33,603,13.038873,80.192755,"Vijaya Hospital, Chennai, Tamil Nadu, India",Found
24176,,"Gandhi Nagar, 52, First Main Road, Gandhi nagar, Adyar",Fortis Malar Hospital,"Gandhi Nagar, 52, First Main Road, Gandhi nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,044 24914737,0,0,0,0,0,0,contactus.malar@fortishealthcare.com,0,www.fortishealthcare.com,"Andrology,\n Anaesthesiology,\n Cardiology,\n Critical Care,\n Dentistry,\n Dermatology,\n Emergency Medicine,\n Endocrinology,\n ENT, Gastroenterology,\nGeneral Surgery,\n Internal Medicine, Interventional Radiology,\n Neonatology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Paediatrics,\n Physiotherapy,\n Plastic and Reconstructive Surgery,\n Psychiatry,\n Pulmonology,\n Radiology,\n Rheumatology,\n Urology,\n Vascular Surgery","OPD Services 9 am to 12 pm,\nIn-patient, Admissions (IPD-related services)\nAmbulance Facility\nHealth Awareness Lectures/ Workshops,\nExecutive Health Checkups,\nHealth Check Camps,\nBlood Donation, Camps",,,,,,,,,,,,,,,0,,,,,,33,603,13.0101759,80.2586997,"Fortis Malar Hospital, Chennai, Tamil Nadu, India",Found
24177,,"Manapakkam, 4/112, Mount Poonamalle Road",MIOT Hospitals,"Manapakkam, 4/112, Mount Poonamalle Road",Tamil Nadu,Chennai,0,600089,0,044 22499800,0,0,0,0,0,0,enq@miothospitals.com,0,www.miothospitals.com,"Anaesthesiology,\n Cardiology,\n Cardiothoracic Surgery,\n Cardiovascular Surgery,\n Critical Care,\n Dentistry and Maxillofacial Surgery,\n Dermatology,\n Diabetology,\n Endocrinology\n ENT and Head and Neck Surgery, Gastroenterology,\n General Medicine,\n General Surgery,\n Internal Medicine, Interventional Radiology,\n Medical Oncology\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Paediatric Cardiology,\n Paediatric Surgery,\n Plastic and Reconstructive Surgery,\n Pulmonology,\n Radiation Oncology,\n Radiology and Imageology,\n Sleep Medicine,\n Spine Surgery,\n Surgical Oncology,\n Urology\n Vascular Surgery","Ambulance Services,\n750 HD CT Scan,\nMRI (for functional imaging and whole body scan)\nUltrasound,\nNuclear Scan with Dual head Gamma Camera,\nOperating Theatre,\nICU,\nBlood Bank,\nDigital Cardiac, Cathlab",,,,,,,,,,,,,,,0,,,,,,33,603,13.0211808,80.1858412,"MIOT Hospitals, Chennai, Tamil Nadu, India",Found
24178,,"No.15, Thousand Lights, Shafee Mohammed Road",Apollo Childrens Hospital,"No.15, Thousand Lights, Shafee Mohammed Road",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,enquiry@apollohospitals.com,0,http://www.apollohospitals.com/Apollo_Children/,"Adolescent medicine,\nAnaesthesiology,\nCardiology/ Cardiothoracic surgery,\nCommunity/Behavioral medicine,\nCritical care medicine,\nDermatology,\nEmergency medicine,\nENT,\nEndocrinology and Metabolism,\n Gastroenterology, [Medical and Surgical]\n General Paediatrics,\n haematology\n Imaging Sciences,\n Infectious diseases,\n Neonatology,\n Neurology/Neurosurgery,\n Nephrology/Urology,\n Occupational therapy,\n Orthopaedics,\n Paediatric surgery,\n Plastic surgery,\n Preventive medicine,\n Psychiatry,\nPulmonology/Allergy/Asthma,\n Rehabilitation medicine,\n Speech and Hearing Therapy","Neonatology care units, Paediatric Intensive care facilities, state of the art Operating rooms including facility for complex cardiac surgeries, procedure rooms, Laboratory services, dedicated clinics for chronic ailments, preventive health, developmental disorders and counselling services",,,,,,,,,,,,,,,0,,,,,,33,603,13.060131,80.2523656,"Apollo Childrens Hospital, No.15, Thousand Lights, Shafee Mohammed Road, Chennai, Tamil Nadu, India",Found
24179,,"21, Off Greams Road, Greams Lane","Apollo Hospitals, Greams Lane","21, Off Greams Road, Greams Lane",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,18605001066,0,0,enquiry@apollohospitals.com,0,www.apollohospitals.com,"Bariatric Surgery,\n Cardiac Surgery,\n Cardiology,\n Critical Care,\n Endoscopy,\n ENT,\n Gastroenterology,\n Liver Transplant,\n Medical Oncology,\n Nephrology,\n Neurology,\n Oncology,\n Ophthalmology,\n Orthopaedics,\n Spine Surgery,\n Surgical Oncology\n Urology",Customized Preventive Health Checks\nOutpatient Facilities\nConsultation across 57 Specialties\nInpatient Facility\nPriority Admission\nRadiation Packages\nChoice of rooms\nExclusive diet for patients\nMulti-cuisine Service\nAmbulance Service,,,,,,,,,,,,,,,0,,,,,,33,603,13.0632248,80.2515817,"Apollo Hospitals, Greams Lane, Chennai, India",Found - Retry
24180,,"320, Anna Salai",Apollo Specialty Hospital,"320, Anna Salai",Tamil Nadu,Chennai,0,600035,0,0,0,0,0,0,0,0,enquiry@apollohospitals.com,0,http://chennai.apollohospitals.com/,"ENT and Head and Neck Surgery,\n Medical Oncology,\n Neuro Surgery,\n Neurology,\n Oncology,\n Orthopaedics,\n Plastic and Reconstructive Surgery,\nSurgical Oncology","CT ICU / CCU, Emergency unit,",,,,,,,,,,,,,,,0,,,,,,33,603,13.0177957,80.2711008,"Apollo Specialty Hospital, Chennai, Tamil Nadu, India",Found
24181,,"43, Lakshmi Talkies Road, Shenoy Nagar",Billroth Hospital,"43, Lakshmi Talkies Road, Shenoy Nagar",Tamil Nadu,Chennai,0,600030,0,0,0,0,0,0,0,0,admin@billrothhospitals.com,0,www.billrothhospitals.com,"Cardiology,\n Cardiothoracic Surgery,\n Chest Physician,\n Diabetology,\n ENT,\n Gastroenterology,\n Laboratory Medicine,\n Medical Oncology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Nuclear Medicine\n Obstetrics and Gynaecology,\n Oncology,\n Orthopaedics,\n Plastic Surgery,\n Radiology,\n Surgical Oncology,\n Vascular Surgery","Diagnostic,\nAmbulance Services,\nEmergency Services,\nCCU,\nTheatre,\nDialysis,\nEndoscopy,\nOT",,,,,,,,,,,,,,,0,,,,,,33,603,13.0273509,80.2567528,"Billroth Hospital, Chennai, Tamil Nadu, India",Found
24182,,"Chetpet, No.77, Harrington Road",Prashanth Fertility Research Centre,"Chetpet, No.77, Harrington Road",Tamil Nadu,Chennai,0,600031,0,0,0,0,0,0,0,0,info@pfrcivf.com,0,www.pfrcivf.com,"Andrology,\n Anaesthesiology,\n Cosmetology,\n Diabetology,\n ENT,\n Gynaecology,\n IVF and Infertility,\n Nephrology,\n Neurology,\n Orthopaedics and Traumatology,\n Pulmonology,\n Sonology,\n Urology","24 Hour Obstetrics  Care,\nEarly Pregnancy, Assessment Unit - Epau,\nAntenatal Exercise painless, Labour - Epidural Analgesia,\nPainless Labour - Entonox Analgesia,\nOne To One Nursing Care During Labour,\nCord Blood Banking,\nNutritional, Guidance,\nNeonatal And Paediatric, Unit\nNeonatal, Intensive Care Unit\nElectronic Fetal Heart Recording - During Delivery\nBaby Phototherapy\nBaby Warmers\nImmunisation For The Newborn",,,,,,,,,,,,,,,0,,,,,,33,603,,,,Not Found
24183,,"No 1, Ramachandra Nagar, Porur",Sri Ramachandra Medical Centre (SRMC),"No 1, Ramachandra Nagar, Porur",Tamil Nadu,Chennai,0,600116,0,044 24768402,0,0,0,0,0,0,,0,www.srmc.edu,"Accident and Emergency,\n Anaesthesiology,\n Bio-Chemistry,\n Cardiology,\n Cardiothoracic Surgery,\n Chest Physician,\n Dentistry,\n Dermatology,\n Diabetology,\n Emergency Medicine,\n Endocrinology\n ENT,\n Family Medicine,\n Gastroenterology,\n General Medicine,\n General Surgery\n Gynaecology,\n Liver Transplant\n Micro-Biology,\n Neonatology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Orthopaedic Surgery,\n Orthopaedics,\n Pathology,\n Paediatric Surgery,\n Paediatrics,\n Physiotherapy,\n Plastic Surgery,\n Psychiatry,\n Pulmonology\n Radiology,\n Rheumatology,\n Sports Medicine,\n Surgical Gastroenterology\n Urology,\n Vascular Surgery,\n Venereology","24 hour pharmacy located in the ground floor,\nSTD calls can be made from the rooms where telePhone-s have been provided, on extra charges.Local calls are charged at the rate of rs.5/- per call and the duration of the calls is three minutes.PCO / STD /ISD services available in the ground floor\nArab TV channels available on extra charges\nFax facility available on extra charges\nXerox facility is available in the library.Extn.No.8109\nGuest laundry service is also available on extra payment\nGift shop is located in the library building.Extn.8112\nBank facility (Indian Bank) Extn.No.8283\nRailway Booking Extn.No.132\nPost office Extn.No.8285\nInternet connection on request\nSRMC Annex Guest house for AC and non AC rooms Extn.No.8310\nGeneral Store in Archana Canteen\nTemple at the entrance of the campus\nOther religious services on request\nIntensive Care Units\nRound the Clock Ambulance Services",,,,,,,,,,,,,,,0,,,,,,33,603,,,,Not Found
