Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,Latitude,Longitude,Geocoding_Query,Geocoding_Status
24179,,"21, Off Greams Road, Greams Lane","Apollo Hospitals, Greams Lane","21, Off Greams Road, Greams Lane",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,18605001066,0,0,enquiry@apollohospitals.com,0,www.apollohospitals.com,"Bariatric Surgery,\n Cardiac Surgery,\n Cardiology,\n Critical Care,\n Endoscopy,\n ENT,\n Gastroenterology,\n Liver Transplant,\n Medical Oncology,\n Nephrology,\n Neurology,\n Oncology,\n Ophthalmology,\n Orthopaedics,\n Spine Surgery,\n Surgical Oncology\n Urology",Customized Preventive Health Checks\nOutpatient Facilities\nConsultation across 57 Specialties\nInpatient Facility\nPriority Admission\nRadiation Packages\nChoice of rooms\nExclusive diet for patients\nMulti-cuisine Service\nAmbulance Service,,,,,,,,,,,,,,,0,,,,,,33,603,13.0641019,80.2514516,,Not Found
24182,,"Chetpet, No.77, Harrington Road",Prashanth Fertility Research Centre,"Chetpet, No.77, Harrington Road",Tamil Nadu,Chennai,0,600031,0,0,0,0,0,0,0,0,info@pfrcivf.com,0,www.pfrcivf.com,"Andrology,\n Anaesthesiology,\n Cosmetology,\n Diabetology,\n ENT,\n Gynaecology,\n IVF and Infertility,\n Nephrology,\n Neurology,\n Orthopaedics and Traumatology,\n Pulmonology,\n Sonology,\n Urology","24 Hour Obstetrics  Care,\nEarly Pregnancy, Assessment Unit - Epau,\nAntenatal Exercise painless, Labour - Epidural Analgesia,\nPainless Labour - Entonox Analgesia,\nOne To One Nursing Care During Labour,\nCord Blood Banking,\nNutritional, Guidance,\nNeonatal And Paediatric, Unit\nNeonatal, Intensive Care Unit\nElectronic Fetal Heart Recording - During Delivery\nBaby Phototherapy\nBaby Warmers\nImmunisation For The Newborn",,,,,,,,,,,,,,,0,,,,,,33,603,13.07018965,80.23666256,,Not Found
24183,,"No 1, Ramachandra Nagar, Porur",Sri Ramachandra Medical Centre (SRMC),"No 1, Ramachandra Nagar, Porur",Tamil Nadu,Chennai,0,600116,0,044 24768402,0,0,0,0,0,0,,0,www.srmc.edu,"Accident and Emergency,\n Anaesthesiology,\n Bio-Chemistry,\n Cardiology,\n Cardiothoracic Surgery,\n Chest Physician,\n Dentistry,\n Dermatology,\n Diabetology,\n Emergency Medicine,\n Endocrinology\n ENT,\n Family Medicine,\n Gastroenterology,\n General Medicine,\n General Surgery\n Gynaecology,\n Liver Transplant\n Micro-Biology,\n Neonatology,\n Nephrology,\n Neuro Surgery,\n Neurology,\n Obstetrics and Gynaecology,\n Oncology,\n Ophthalmology,\n Orthopaedic Surgery,\n Orthopaedics,\n Pathology,\n Paediatric Surgery,\n Paediatrics,\n Physiotherapy,\n Plastic Surgery,\n Psychiatry,\n Pulmonology\n Radiology,\n Rheumatology,\n Sports Medicine,\n Surgical Gastroenterology\n Urology,\n Vascular Surgery,\n Venereology","24 hour pharmacy located in the ground floor,\nSTD calls can be made from the rooms where telePhone-s have been provided, on extra charges.Local calls are charged at the rate of rs.5/- per call and the duration of the calls is three minutes.PCO / STD /ISD services available in the ground floor\nArab TV channels available on extra charges\nFax facility available on extra charges\nXerox facility is available in the library.Extn.No.8109\nGuest laundry service is also available on extra payment\nGift shop is located in the library building.Extn.8112\nBank facility (Indian Bank) Extn.No.8283\nRailway Booking Extn.No.132\nPost office Extn.No.8285\nInternet connection on request\nSRMC Annex Guest house for AC and non AC rooms Extn.No.8310\nGeneral Store in Archana Canteen\nTemple at the entrance of the campus\nOther religious services on request\nIntensive Care Units\nRound the Clock Ambulance Services",,,,,,,,,,,,,,,0,,,,,,33,603,13.03951338,80.14359758,,Not Found
24189,,"5/639, Old Mahabalipuram Road, Kandanchavadi, Perungudi",Lifeline Multi Speciality Hospital,"5/639, Old Mahabalipuram Road, Kandanchavadi, Perungudi",Tamil Nadu,Chennai,0,600096,0,0,0,0,0,0,0,0,enquiry@lifelinehospitals.com,0,www.lifelinehospitals.com,"Dermatology,\n Diabetology,\n ENT, Gastroenterology,\nGeneral and Laparoscopic Surgery,\n Geriatrics,\n Internal Medicine, Neurology,\n Obstetrics and Gynaecology\n Ophthalmology,\n Orthopaedics and Traumatology,\n Paediatrics,\n Psychiatry,\n Urology","Weight Loss Surgery,\nPainless Surgery,\nKey hole Surgery,\nFat Surgery,,\n Sleeve Gastrectomy Surgery,\n Fundoplication Surgery,\nTummy Tuck Surgery,\n Bypass Surgery,\nInternational Patient Services,\nTelemedicine,\nCorporate Health Care Service,\nBrain and Spine Care,\nThe Chief Minister Insurance Scheme,\nCorporate Social, Responsibility",,,,,,,,,,,,,,,0,,,,,,33,603,13.07881613,80.23349366,,Not Found
24193,,"No: 827, Poonamallee High Road",KKR Ent Hospital and Research Institute (P) Ltd,"No: 827, Poonamallee High Road",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044 2641 2727,enquiry@kkrenthospital.org,0,http://www.kkrenthospital.org/,Ent,,,,,,,,,,,,,,,,0,,,,,,33,603,13.08209456,80.24525739,,Not Found
24224,,"No.20, Gopathi Narayanaswami Chetty Road",Bharathi Rajaa Hospitals (P) Ltd,"No.20, Gopathi Narayanaswami Chetty Road",Tamil Nadu,Chennai,Thiyagaraya Nagar,600017,0,0,0,0,0,0,0,0,"info@brhospital.in, brhospital@gmail.com",0,http://www.brhospital.in/,"Accident and Emergency Services 24 hours, General Medicine and General Surgery, Advanced Key Hole Surgery, Geriatrice, Anaemia and Arthrits Clinic, Gastroenterology ( Medical and Surgical ), Allergy and Arthma Clinic, Gynaecology and Obstetric, Alcoho abuse Clinic, Hypertensive Clinic, Alcoho abuse Clinic, Homeopathy Clinic, Burns Unit, Hematology, Cardiology and lnterventional, Cardiology, Holistic Approach Clinic Nutritionist and Psycologist, Cardio Thoracic Surgery, Neurology and Neuro Surgery, Coronary Care Unit, Nephrology, Chest Diseases Department, Ophthalmology, Dermatology ( Skin Department ), Orthopaedic Surgery, Dental Clinic, Oncology ( Cancer Medical and Surgical ), ENT, Paediatric Surgery, Endocrinology Department, Plastic, Surgery and Cosmetic Surgery, Reiki, Psychiatry, Radiology and Sonology, Pain and Palliative Care,, Sports lnjury, Stroke Therapy Unit, Urology, Vascular Surgery, Unani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,044 24341982,0,0,0,0,0,33,603,13.04936691,80.24533387,,Not Found
24234,,"No.15, Dr.Radha Krishnan Salai",C.S.I.Kalyani Multi Speciality Hospital,"No.15, Dr.Radha Krishnan Salai",Tamil Nadu,Chennai,Mylapore,600004,0,0,0,0,0,0,0,0,csikalyanihospital@rocketmail.com,0,www.csikalyanihospital.com,"Allergy, Anaesthesiology, Cancer, Oncology, Psychiatry, Cardiology, Pulmonology, Community Health, Skin And Cosmetology, Dental, Urology, Endocrinology, Ent, Gastroenterology, General And Pediatric Surgery, General Medicine, Haematology, Nephrology, Neurology, Obstetrics andGynaecology, Opthamology, Orthopaedics, Pediatrics, Physiotherapy, Plastic Surgery","Endoscopy, Laparoscopy, Bronchoscopy, Arthroscopy, Colposcopy, Hysteroscopy, Master Health Check up, Pain Clinic, Immunization Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.04416175,80.27201133,,Not Found
24242,,"No.107A, G.S.T.Road, Chromepet",Deepam Hospital (P) Ltd.,"No.107A, G.S.T.Road, Chromepet",Tamil Nadu,Chennai,West Tambaram,600044,0,082202 82202,0,0,0,0,0,0,ask@deepamhospitals.com,0,http://www.deepamhospitals.com/,"Dentistry, Dermatology, Emergency and Trauma Care, Ortho and Joint Replacement, Paediatric and Neonatology, ENT, Nephrology, Obstetrics and Gynacology, Dialysis, Opthamology, Urology, Pulmonology, Plastic Surgery, Critical Care, Paediatrics, Endocrinology, General Medicine, Surgical Center",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,12.85264476,80.0620526,,Not Found
24247,,"No.1, Bharathi Nagar, Redhills Road",Eswar Medical Foundation,"No.1, Bharathi Nagar, Redhills Road",Tamil Nadu,Chennai,Kolathur,600099,0,0,0,0,0,0,0,0,helpdesk@eswarhospitals.com,0,www.eswarhospitals.com,"Kidney, Urology, Ortho, Joint Replacement, Total Hip Replacement, Knee Reconstruction and Replacement, Arthroscopy, Spinal Surgery, Trauma Care, Limb Reconstruction","Laser Surgery (Lithotripsy), Laparoscopic Surgery, Bariatric (Obesity) Surgery, Hemodialysis Unit, ESWL (Extracorporeal Sockwave Lithotripsy), Endoscopy Unit (Upper GI Scopy, Colonoscopy, ERCP), 24 ICU with ventilator support, 24 Hrs Trauma Unit, Poisoning Treatment, Infertility Unit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.12217184,80.22371317,,Not Found
24256,,"24 and 26, 'Swathi', 29 Th Street",Hari Haran Diabetes and Heart Care Hospitals Pvt Ltd,"24 and 26, 'Swathi', 29 Th Street",Tamil Nadu,Chennai,Nanganallur,600061,0,0,0,0,0,0,0,0,info@hariharanhospitals.com,0,http://hariharanhospitals.com/,"Diabetology, Cardiology, Nephrology, Neurology, Medical Oncology, Medical Gastroenterology, Paediatrics, Chest Physcian, Psychiatry, Dermatology, General Surgery and Oncology, Surgical, Orthopaedics, Urology, Neuro Surgery, Ophthalmology, E.N.T., Obstetrics and Gynaecology, Vascular Surgery, Cardiothoracic Surgery, Surgical Gastroenterology and Endoscopy, Plastic Surgery, Lapraroscopic Surgery, Sonology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,12.98574193,80.19079119,,Not Found
