Unrecognized_Term,Occurrences
dental,2
advanced key hole surgery,1
anaemia and arthrits clinic,1
asthma,1
cosmetologist (plastic surgeon),1
dermatology ( skin department ),1
dermatology and cosmetology,1
gastro surgery,1
gastroenterology ( medical and surgical ),1
gastroenterology (medical),1
gastroenterology (surgical),1
general preactitioner,1
homeopathy clinic,1
hypertensive clinic,1
impotence clinic,1
knee,1
lasik,1
medical and surgical,1
mind,1
multi speciality hospital,1
multi-disciplinary diabetic foot clinic with all surgical experts,1
obesity,1
oncology ( cancer medical and surgical ),1
opthalmology,1
oral and maxillofacial surgery,1
orbit and oculoplasty,1
ortho biologicals,1
orthopedic,1
pain,1
pain clinic for special problems in diabetic patients like frozen shoulder,1
pharmacology,1
physiology,1
plastic,1
podiatric,1
preventive diabetes foot care (podiatry),1
refractive,1
retina,1
robotic surgery,1
skin and cosmetology,1
sleep medicine,1
snoring,1
special clinic for children with diabetes.,1
squint and paediatric ophthalmology,1
stroke therapy unit,1
surgery and cosmetic surgery,1
surgical,1
transfusion medicine,1
transplant surgery,1
uvea,1
venereology,1
