Unrecognized_Term,Occurrences
Neonatology,4
Cosmetology,2
Allergy,2
Chest,2
Medicine,2
Surgery,2
Cancer,2
Alcoho abuse Clinic,2
Opthamology,2
Plastic Surgery and Cosmetic Surgery,1
Behavioral medicine,1
Endocrinology ENT and Head and Neck Surgery,1
Dentistry and Maxillofacial Surgery,1
Asthma,1
Medical Oncology Nephrology,1
Nuclear Medicine Obstetrics and Gynaecology,1
Plastic Surgery Psychiatry,1
Pre Conceptional Clinic,1
Joint Replacement Surgery Nephrology,1
[Medical and Surgical] General Paediatrics,1
haematology Imaging Sciences,1
Sexual Problems,1
Community,1
Child Psychiatry service offered,1
Podiatric,1
obstetrics and infertility,1
Paediatric Department,1
Neuromedicine,1
Chest Department,1
Oncology Department,1
Lab,1
Oral and Maxillofacial Surgery,1
Plastic and Cosmetic Surgery,1
Anatomy,1
Physiology,1
Pre Marital Counseling and Family Planning,1
Menopausal Clinic,1
Paediatrics and Neonatology,1
Maxillofacial Surgery,1
Anaesthesiology and Pain Clinic,1
Pharmacology,1
Forensic Medicne and Toxicology,1
Biochemistry,1
In Vitro Fertilization,1
Reproductive Medicine,1
Cardiothoracic Surgery (Paediatric),1
Chest and TB,1
Physio Back School,1
Joint Pain,1
Skin,1
Mind,1
Knee,1
Child,1
Pain,1
Cardiac Care Center,1
Gastro,1
Cardio,1
Vascular,1
Diabetic,1
Eye,1
Head Injury,1
Woman,1
Obesity,1
General Surgical and Laproscopic,1
Birthing Center,1
Bone and Joint Center,1
Cradle Fertility Center,1
Non Surgical Treatment,1
Anesthesia,1
Neuro,1
Cardio Vascular Disease and Robotic Surgery,1
Retina,1
Orbit and Oculoplasty,1
Glaucoma,1
Uvea,1
Diabetes Heart Evaluation,1
Preventive Diabetes Foot Care (Podiatry),1
Appropriate Dental Care for diabetic patients,1
Diabetes Neuropathy Clinic,1
State of Art Diagnostic Laboratory,1
Special Diabetes Counselling,1
Impotence Clinic,1
Obesity and Lifestyle Counselling,1
Pain Clinic for special problems in diabetic patients like frozen shoulder,1
Special Yoga classes for diabetes control,1
Trained Orthotist and complete In-House Footwear manufacturing Unit for special needs of diabetic patients with all types of foot problems,1
Multi-disciplinary diabetic Foot clinic with all surgical experts,1
Dia-Shoppe with products and medicines for diabetes treatment,1
Weight Management Clinic,1
Women Wellness Clinic,1
Healthy Heart Clinic,1
Special clinic for children with diabetes.,1
Heart Care,1
Centre for Heart Failure Management,1
Brain and Spine Care,1
Centre for Comprehensive Epilepsy Care,1
Bone and Joint Care,1
Centre for Knee Replacement,1
Nephro and Uro Care,1
Digestive Care,1
Women Care,1
Cornea and Refractive,1
Contact Lens,1
Cyanotic and Acyanotic Heart Diseases (Simple and Complex),1
Child care,1
Reproductive Technology,1
General Surgery and Laparoscopic Surgery,1
Ortho Biologicals,1
Anaesthesia,1
Endocrinologist,1
Onocology,1
Radiologist,1
Cardiologist,1
Obstetrician and Gynaecologist,1
Pediatrician and Neonatologist,1
Rheumatologist,1
Cosmetologist (Plastic Surgeon),1
Anasthesiology,1
Obesity and Bariatric,1
Diet Counselling,1
Bio-Chemistry,1
General Surgery Gynaecology,1
Endocrinology ENT,1
Pulmonology Radiology,1
Sports Medicine,1
Venereology,1
Liver Transplant Micro-Biology,1
General Medicine and General Surgery,1
Geriatrice,1
Anaemia and Arthrits Clinic,1
Allergy and Arthma Clinic,1
Hypertensive Clinic,1
Homeopathy Clinic,1
Burns Unit,1
General Surgeon,1
Cardiology and lnterventional,1
Holistic Approach Clinic Nutritionist and Psycologist,1
Oncology ( Cancer Medical and Surgical ),1
Chest Diseases Department,1
Plastic,1
Surgery and Cosmetic Surgery,1
Reiki,1
Endocrinology Department,1
Radiology and Sonology,1
Pain and Palliative Care,1
Stroke Therapy Unit,1
Sports lnjury,1
Community Health,1
Skin And Cosmetology,1
General And Pediatric Surgery,1
Obstetrics andGynaecology,1
Ortho and Joint Replacement,1
Paediatric and Neonatology,1
Obstetrics and Gynacology,1
Kidney,1
Knee Reconstruction and Replacement,1
Trauma Care,1
Chest Physcian,1
General Surgery and Oncology,1
Surgical,1
E.N.T.,1
Lapraroscopic Surgery,1
Advanced Skull Base Surgeries,1
Coblation Tonsillectomy and Adenoidectomy,1
EAR SURGERY for DISCHARGING EAR,1
Endoscopic Dacryocystorhinostomy,1
Snoring,1
